url,title,full_text,date_published,views,tags,page,target
https://ria.ru/20250402/smi-2008994289.html,"Глава Пентагона впервые не примет участия во встрече по Украине, пишут СМИ","ВАШИНГТОН, 2 апр – РИА Новости. Министр обороны США Пит Хегсет не примет участия во встрече международной коалиции по оказанию военной поддержки Украине, которая запланирована на 11 апреля в Брюсселе, сообщает издание Defense News со ссылкой на источники среди американских и европейских должностных лиц.",23:54 02.04.2025,52,"['В мире', 'США', 'Украина', 'Брюссель', 'Пит Хегсет', 'Дональд Трамп']",1,true
https://ria.ru/20250402/poshliny-2008993829.html,США ввели пошлины на товары из других стран,"ВАШИНГТОН, 2 апр — РИА Новости. Президент США Дональд Трамп объявил о введении новых пошлин на продукцию других стран.",23:53 02.04.2025,60,"['В мире', 'США', 'Тайвань', 'Дональд Трамп', 'Евросоюз', 'Китай']",1,true
https://ria.ru/20250402/vzryv-2008993522.html,Несущие конструкции здания в Перевозе после взрыва газа не повреждены,"НИЖНИЙ НОВГОРОД, 2 апр - РИА Новости. Несущие конструкции офисного здания в городе Перевоз Нижегородской области, где произошел взрыв газовоздушной смеси, не повреждены, сообщает региональное управление МЧС.",23:52 02.04.2025,105,['Нижегородская область'],1,true
https://ria.ru/20250402/tramp-2008993302.html,Трамп раскрыл размер пошлин на товары из ЕС и Китая,"ВАШИНГТОН, 2 апр - РИА Новости. США вводят пошлины в размере 20% на товары из ЕС, 34% - на товары из Китая, заявил в среду президент США Дональд Трамп.",23:51 02.04.2025,405,"['США', 'Китай', 'Тайвань', 'Дональд Трамп', 'Евросоюз']",1,true
https://ria.ru/20250402/bpla-2008993170.html,В Краснодарском крае объявили опасность атаки БПЛА,"МОСКВА, 2 апр - РИА Новости. Опасность атаки БПЛА объявлена в Краснодарском крае, сообщается в приложении МЧС России.",23:50 02.04.2025,64,"['Специальная военная операция на Украине', 'Краснодарский край', 'Россия']",1,true
https://ria.ru/20250402/ssha-2008992710.html,"США и Израиль готовят сокрушительные удары по Ирану, пишет Daily Mail","МОСКВА, 2 апр - РИА Новости. США и Израиль готовятся нанести по Ирану удар, призванный ликвидировать угрозу, якобы исходящую от иранской ядерной программы, сообщает газета Daily Mail со ссылкой на источники в израильском правительстве.",23:46 02.04.2025,410,"['В мире', 'Иран', 'США', 'Тегеран (город)', 'Дональд Трамп', 'Али Хаменеи']",1,true
https://ria.ru/20250402/netanyakhu-2008992527.html,Нетаньяху обсудил с россиянкой усилия по вызволению ее сына из плена ХАМАС,"ТЕЛЬ-АВИВ, 2 апр - РИА Новости. Премьер Израиля Биньямин Нетаньяху провел телефонный разговор с гражданкой России Натальей Харкиной и выразил приверженность возвращению ее сына Максима вместе с другими заложниками из плена в секторе Газа, сообщила канцелярия премьера в среду.",23:45 02.04.2025,126,"['В мире', 'Израиль', 'Россия', 'Биньямин Нетаньяху', 'ХАМАС']",1,true
https://ria.ru/20250402/tramp-2008992137.html,"Трамп заявил, что США направят триллионы долларов на погашение госдолга","ВАШИНГТОН, 2 апр - РИА Новости. США направят ""триллионы долларов"" выручки от зеркальных пошлин на снижение налогов и погашение госдолга, все произойдет ""очень быстро"", заявил в среду президент США Дональд Трамп.",23:36 02.04.2025,894,"['США', 'Америка', 'Дональд Трамп']",1,true
https://ria.ru/20250402/tramp-2008991776.html,Трамп пообещал не вводить пошлины в полном объеме,"ВАШИНГТОН, 2 апр – РИА Новости. США установят минимальную базовую пошлину в размере 10% на импорт из других стран, а зеркальные тарифы будут применяться в объеме примерно вдвое меньшем, чем те, что действуют за рубежом, заявил в среду президент Дональд Трамп.",23:32 02.04.2025,968,"['США', 'Дональд Трамп']",1,true
https://ria.ru/20250402/tramp-2008991622.html,"Трамп заявил, что американскую экономику десятилетиями грабили и разрушали","ВАШИНГТОН, 2 апр – РИА Новости. Президент США Дональд Трамп заявил, что десятилетиями американскую экономику ""грабили и разрушали"" как союзники, так и противники, однако его указ о введении зеркальных пошлин положит этому конец.",23:32 02.04.2025,484,"['В мире', 'США', 'Вашингтон (штат)', 'Америка', 'Дональд Трамп']",1,true
https://ria.ru/20250402/mask-2008991355.html,Маск назвал новость о его уходе с госслужбы фейком,"МОСКВА, 2 апр - РИА Новости. Глава департамента эффективности правительства (DOGE) США Илон Маск назвал ""фейком"" новость о том, что он якобы в течение ближайших нескольких недель покинет свой пост.",23:21 02.04.2025,1045,"['В мире', 'США', 'Илон Маск', 'Дональд Трамп', 'Майк Джонсон']",1,true
https://ria.ru/20250402/iran-2008990931.html,"Иран не закрывал небо, вопреки сообщениям СМИ, следует из расписания рейсов","ТЕГЕРАН, 2 апр – РИА Новости. Воздушное пространство на территории Исламской республики Иран открыто, следует из расписания международного аэропорта имени Имама Хомейни в Тегеране.",23:16 02.04.2025,555,"['В мире', 'Иран', 'США']",1,true
https://ria.ru/20250402/ssha-2008990439.html,Авиация США нанесла удары по провинциям Йемена,"КАИР, 2 апр - РИА Новости. США нанесли авиаудары по провинциям Сана и Саада в Йемене, сообщил телеканал Al Masirah, подконтрольный йеменскому движению ""Ансар Алла"" (хуситам).",23:11 02.04.2025,839,"['В мире', 'США', 'Саада (мухафаза)', 'Йемен', 'Сана', 'Ансар Алла']",1,true
https://ria.ru/20250402/vsu-2008990164.html,Солдаты ВСУ превратили в боевую позицию монастырь в Курской области,"КУРСК, 2 апр - РИА Новости. Солдаты ВСУ превратили в боевую позицию старинный Свято-Николаевский Белогорский мужской монастырь в селе Горналь курского Суджанского района, сообщили РИА Новости военнослужащие группировки войск ""Север"".",23:06 02.04.2025,1448,"['Специальная военная операция на Украине', 'Суджанский район', 'Сумская область']",1,true
https://ria.ru/20250402/estonija-2008989951.html,В Эстонии уничтожили монументы памяти бойцов Красной армии,"МОСКВА, 2 апр - РИА Новости. Сотрудники Эстонского военного музея уничтожили монументы памяти бойцов Красной армии, освобождавших территорию Эстонии от нацистской оккупации, на территории Таллинского военного кладбища, сообщает посольство РФ в Эстонии.",22:59 02.04.2025,1463,"['В мире', 'Эстония', 'Россия', 'Латвия', 'Т-34']",1,true
https://ria.ru/20250402/prigovor-2008989672.html,"""До исчезновения 120 дней"": Зеленскому вынесли приговор","МОСКВА, 2 апр — РИА Новости. До исчезновения Владимира Зеленского осталось 120 дней, заявил депутат Верховной рады Александр Дубинский в Telegram-канале.",22:53 02.04.2025,9832,"['Украина', 'Владимир Зеленский', 'Александр Дубинский', 'Верховная Рада Украины']",1,true
https://ria.ru/20250402/bloomberg-2008989527.html,"СМИ раскрыли, что США хотят сделать с Россией","МОСКВА, 2 апр — РИА Новости. США хотят смягчить напряженность после слов американского лидера Дональда Трампа о президента России Владимире Путине, пишет Bloomberg.",22:50 02.04.2025,14543,"['В мире', 'США', 'Россия', 'Вашингтон (штат)', 'Владимир Путин', 'Дональд Трамп']",1,true
https://ria.ru/20250402/tramp-2008989347.html,В конгрессе оспорили указ Трампа о подтверждении гражданства избирателей,"ВАШИНГТОН, 2 апр - РИА Новости. Демократический национальный комитет и лидеры меньшинства в конгрессе Чак Шумер и Хаким Джеффрис подали иск, оспаривающий законность указа президента США Дональда Трампа о необходимости подтверждения американского гражданства у избирателей на выборах, следует из документа в распоряжении РИА Новости.",22:45 02.04.2025,1173,"['В мире', 'Колумбия', 'США', 'Дональд Трамп', 'Чак Шумер']",1,true
https://ria.ru/20250402/obrushenie-2008989150.html,"В Свердловской области обрушилась шахта ""Ново-Кальинская""","МОСКВА, 2 апр — РИА Новости. В шахте ""Ново-Кальинская"" в Свердловской области произошло обрушение пород, сообщило МЧС России в Telegram-канале.",22:39 02.04.2025,2780,"['Происшествия', 'Свердловская область']",1,true
